sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;max_micro;1028
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;min_micro;253
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;samples;567586
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;max_micro;1028
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;min_micro;253
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;samples;567586
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;humidity;46.20
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;max_micro;1028
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;min_micro;253
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;samples;567586
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
38;DHT22;8;-1.306;36.733;2017-07-11T08:58:03+00:00;temperature;23.80
